DATE,DTWEXM
2003-01-01,100.2577
2003-01-02,100.8803
2003-01-03,100.4474
2003-01-06,99.9413
2003-01-07,100.3036
2003-01-08,100.1151
2003-01-09,99.9572
2003-01-10,99.5680
2003-01-13,99.3796
2003-01-14,99.0044
2003-01-15,98.9119
2003-01-16,98.9450
2003-01-17,98.4977
2003-01-20,98.4977
2003-01-21,98.5642
2003-01-22,98.2780
2003-01-23,97.8735
2003-01-24,97.5672
2003-01-27,97.7080
2003-01-28,97.9246
2003-01-29,97.4510
2003-01-30,98.0636
2003-01-31,98.3091
2003-02-03,98.1752
2003-02-04,97.4809
2003-02-05,97.7171
2003-02-06,97.8563
2003-02-07,98.0715
2003-02-10,98.6263
2003-02-11,98.6085
2003-02-12,98.7293
2003-02-13,97.9473
2003-02-14,98.1211
2003-02-17,98.1211
2003-02-18,.
2003-02-19,98.0159
2003-02-20,97.4805
2003-02-21,97.7541
2003-02-24,97.3644
2003-02-25,97.2984
2003-02-26,97.2223
2003-02-27,97.4562
2003-02-28,97.3887
2003-03-03,97.0657
2003-03-04,96.7014
2003-03-05,96.1092
2003-03-06,95.9587
2003-03-07,95.7182
2003-03-10,95.5578
2003-03-11,95.9284
2003-03-12,95.9404
2003-03-13,96.9268
2003-03-14,97.5359
2003-03-17,98.0625
2003-03-18,.
2003-03-19,98.3534
2003-03-20,98.1994
2003-03-21,98.9228
2003-03-24,98.1906
2003-03-25,97.9336
2003-03-26,97.7963
2003-03-27,97.5900
2003-03-28,97.4626
2003-03-31,96.5982
2003-04-01,96.6968
2003-04-02,97.4878
2003-04-03,97.5977
2003-04-04,97.7590
2003-04-07,98.4513
2003-04-08,97.7898
2003-04-09,97.7112
2003-04-10,96.9759
2003-04-11,97.2011
2003-04-14,97.1292
2003-04-15,96.9927
2003-04-16,96.7662
2003-04-17,96.3748
2003-04-18,96.5556
2003-04-21,96.9557
2003-04-22,96.1587
2003-04-23,96.3803
2003-04-24,96.0179
2003-04-25,96.05
2003-04-28,96.1467
2003-04-29,95.9825
2003-04-30,94.9386
2003-05-01,94.2914
2003-05-02,94.6144
2003-05-05,94.1005
2003-05-06,93.5668
2003-05-07,93.3505
2003-05-08,92.8261
2003-05-09,92.7226
2003-05-12,92.3844
2003-05-13,92.5423
2003-05-14,92.2147
2003-05-15,92.2015
2003-05-16,91.7668
2003-05-19,91.2040
2003-05-20,90.8918
2003-05-21,90.9818
2003-05-22,91.4048
2003-05-23,91.3055
2003-05-26,91.3055
2003-05-27,91.0644
2003-05-28,91.9188
2003-05-29,91.3380
2003-05-30,91.6261
2003-06-02,91.4954
2003-06-03,91.9363
2003-06-04,91.3874
2003-06-05,90.2645
2003-06-06,91.2756
2003-06-09,91.1963
2003-06-10,91.4002
2003-06-11,90.7955
2003-06-12,90.7213
2003-06-13,90.2388
2003-06-16,90.2429
2003-06-17,90.3609
2003-06-18,90.6314
2003-06-19,91.1443
2003-06-20,91.5004
2003-06-23,91.5079
2003-06-24,91.8840
2003-06-25,91.0420
2003-06-26,92.1515
2003-06-27,92.2109
2003-06-30,92.1028
2003-07-01,91.6012
2003-07-02,91.3678
2003-07-03,91.3234
2003-07-04,91.3234
2003-07-07,92.1765
2003-07-08,93.0933
2003-07-09,92.9376
2003-07-10,92.7919
2003-07-11,92.9619
2003-07-14,92.9367
2003-07-15,93.6523
2003-07-16,93.7679
2003-07-17,94.2665
2003-07-18,94.2707
2003-07-21,93.6971
2003-07-22,94.0553
2003-07-23,93.125
2003-07-24,93.2558
2003-07-25,92.6115
2003-07-28,92.7383
2003-07-29,92.9729
2003-07-30,93.7732
2003-07-31,94.3994
2003-08-01,94.0377
2003-08-04,94.0300
2003-08-05,93.8768
2003-08-06,93.9313
2003-08-07,93.2979
2003-08-08,93.5839
2003-08-11,93.2133
2003-08-12,93.4321
2003-08-13,93.4115
2003-08-14,93.8864
2003-08-15,93.7767
2003-08-18,94.3316
2003-08-19,94.5826
2003-08-20,94.4516
2003-08-21,94.9125
2003-08-22,95.4054
2003-08-25,95.0868
2003-08-26,95.0009
2003-08-27,95.1835
2003-08-28,95.0598
2003-08-29,94.3449
2003-09-01,94.3449
2003-09-02,94.7353
2003-09-03,94.6733
2003-09-04,94.4216
2003-09-05,93.7534
2003-09-08,93.4998
2003-09-09,93.1364
2003-09-10,93.2427
2003-09-11,93.3212
2003-09-12,92.7429
2003-09-15,92.8500
2003-09-16,93.2641
2003-09-17,92.8230
2003-09-18,.
2003-09-19,.
2003-09-22,90.7989
2003-09-23,90.8065
2003-09-24,90.8146
2003-09-25,90.6419
2003-09-26,90.7990
2003-09-29,90.3649
2003-09-30,90.1281
2003-10-01,89.7452
2003-10-02,89.4692
2003-10-03,90.0308
2003-10-06,89.5941
2003-10-07,89.0153
2003-10-08,89.0033
2003-10-09,89.4398
2003-10-10,88.5624
2003-10-13,88.5624
2003-10-14,88.9369
2003-10-15,89.2281
2003-10-16,88.9649
2003-10-17,89.0912
2003-10-20,89.1818
2003-10-21,88.9783
2003-10-22,88.1244
2003-10-23,88.3636
2003-10-24,88.1533
2003-10-27,88.3043
2003-10-28,88.5101
2003-10-29,88.4867
2003-10-30,88.3541
2003-10-31,89.1992
2003-11-03,90.2200
2003-11-04,89.8146
2003-11-05,89.9104
2003-11-06,90.2710
2003-11-07,89.5920
2003-11-10,89.0617
2003-11-11,89.0617
2003-11-12,88.5231
2003-11-13,88.2282
2003-11-14,88.2331
2003-11-17,88.5246
2003-11-18,87.6253
2003-11-19,87.7613
2003-11-20,87.7456
2003-11-21,87.6924
2003-11-24,88.5971
2003-11-25,88.4273
2003-11-26,87.7053
2003-11-27,87.7053
2003-11-28,87.3502
2003-12-01,87.5711
2003-12-02,86.9634
2003-12-03,86.8662
2003-12-04,87.1935
2003-12-05,86.6901
2003-12-08,86.2323
2003-12-09,86.4174
2003-12-10,86.5951
2003-12-11,87.1185
2003-12-12,86.4347
2003-12-15,86.3646
2003-12-16,86.3555
2003-12-17,86.2688
2003-12-18,86.4428
2003-12-19,86.6507
2003-12-22,86.3383
2003-12-23,86.2104
2003-12-24,85.6972
2003-12-25,85.6972
2003-12-26,.
2003-12-29,85.5996
2003-12-30,85.333
2003-12-31,84.8883
